"","Tanggal","Curah_Hujan","Nama_Stasiun"
"158",2007-06-07,0,"Pegasing"
"159",2007-06-08,0,"Pegasing"
"160",2007-06-09,0,"Pegasing"
"161",2007-06-10,0,"Pegasing"
"162",2007-06-11,5.5,"Pegasing"
"163",2007-06-12,70.5,"Pegasing"
"164",2007-06-13,26.5,"Pegasing"
"165",2007-06-14,32,"Pegasing"
"166",2007-06-15,0,"Pegasing"
"167",2007-06-16,0,"Pegasing"
"168",2007-06-17,0,"Pegasing"
"169",2007-06-18,35,"Pegasing"
"170",2007-06-19,0,"Pegasing"
"171",2007-06-20,0,"Pegasing"
"172",2007-06-21,35,"Pegasing"
"173",2007-06-22,0,"Pegasing"
"174",2007-06-23,0,"Pegasing"
"175",2007-06-24,0,"Pegasing"
"176",2007-06-25,0,"Pegasing"
"177",2007-06-26,0,"Pegasing"
"178",2007-06-27,0,"Pegasing"
"179",2007-06-28,0,"Pegasing"
"180",2007-06-29,0,"Pegasing"
"181",2007-06-30,0,"Pegasing"
"182",2007-07-01,0,"Pegasing"
"183",2007-07-02,0,"Pegasing"
"184",2007-07-03,0,"Pegasing"
"185",2007-07-04,0,"Pegasing"
"186",2007-07-05,0,"Pegasing"
"187",2007-07-06,0,"Pegasing"
"188",2007-07-07,0,"Pegasing"
"189",2007-07-08,0,"Pegasing"
"190",2007-07-09,0,"Pegasing"
"191",2007-07-10,0,"Pegasing"
"192",2007-07-11,0,"Pegasing"
"193",2007-07-12,0,"Pegasing"
"194",2007-07-13,0,"Pegasing"
"195",2007-07-14,0,"Pegasing"
"196",2007-07-15,0,"Pegasing"
"197",2007-07-16,0,"Pegasing"
"198",2007-07-17,0,"Pegasing"
"199",2007-07-18,0,"Pegasing"
"200",2007-07-19,0,"Pegasing"
"201",2007-07-20,0,"Pegasing"
"202",2007-07-21,0,"Pegasing"
"203",2007-07-22,0,"Pegasing"
"204",2007-07-23,0,"Pegasing"
"205",2007-07-24,0,"Pegasing"
"206",2007-07-25,0,"Pegasing"
"207",2007-07-26,0,"Pegasing"
"208",2007-07-27,0,"Pegasing"
"209",2007-07-28,0,"Pegasing"
"210",2007-07-29,0,"Pegasing"
"211",2007-07-30,0,"Pegasing"
"212",2007-07-31,0,"Pegasing"
"213",2007-08-01,0,"Pegasing"
"214",2007-08-02,0,"Pegasing"
"215",2007-08-03,0,"Pegasing"
"216",2007-08-04,0,"Pegasing"
"217",2007-08-05,0,"Pegasing"
"218",2007-08-06,0,"Pegasing"
"219",2007-08-07,0,"Pegasing"
"220",2007-08-08,0,"Pegasing"
"221",2007-08-09,0,"Pegasing"
"222",2007-08-10,0,"Pegasing"
"223",2007-08-11,0,"Pegasing"
"224",2007-08-12,0,"Pegasing"
"225",2007-08-13,0,"Pegasing"
"226",2007-08-14,0,"Pegasing"
"227",2007-08-15,0,"Pegasing"
"228",2007-08-16,0,"Pegasing"
"229",2007-08-17,0,"Pegasing"
"230",2007-08-18,0,"Pegasing"
"231",2007-08-19,0,"Pegasing"
"232",2007-08-20,0,"Pegasing"
"233",2007-08-21,0,"Pegasing"
"234",2007-08-22,0,"Pegasing"
"235",2007-08-23,0,"Pegasing"
"236",2007-08-24,0,"Pegasing"
"237",2007-08-25,0,"Pegasing"
"238",2007-08-26,0,"Pegasing"
"239",2007-08-27,0,"Pegasing"
"240",2007-08-28,0,"Pegasing"
"241",2007-08-29,0,"Pegasing"
"242",2007-08-30,0,"Pegasing"
"243",2007-08-31,0,"Pegasing"
"244",2007-09-01,0,"Pegasing"
"245",2007-09-02,0,"Pegasing"
"246",2007-09-03,0,"Pegasing"
"247",2007-09-04,0,"Pegasing"
"248",2007-09-05,0,"Pegasing"
"249",2007-09-06,0,"Pegasing"
"250",2007-09-07,0,"Pegasing"
"251",2007-09-08,0,"Pegasing"
"252",2007-09-09,0,"Pegasing"
"253",2007-09-10,0,"Pegasing"
"254",2007-09-11,0,"Pegasing"
"255",2007-09-12,0,"Pegasing"
"256",2007-09-13,0,"Pegasing"
"257",2007-09-14,0,"Pegasing"
"258",2007-09-15,0,"Pegasing"
"259",2007-09-16,0,"Pegasing"
"260",2007-09-17,0,"Pegasing"
"261",2007-09-18,0,"Pegasing"
"262",2007-09-19,0,"Pegasing"
"263",2007-09-20,0,"Pegasing"
"264",2007-09-21,0,"Pegasing"
"265",2007-09-22,0,"Pegasing"
"266",2007-09-23,0,"Pegasing"
"267",2007-09-24,0,"Pegasing"
"268",2007-09-25,0,"Pegasing"
"269",2007-09-26,0,"Pegasing"
"270",2007-09-27,0,"Pegasing"
"271",2007-09-28,0,"Pegasing"
"272",2007-09-29,0,"Pegasing"
"273",2007-09-30,0,"Pegasing"
"274",2007-10-01,0,"Pegasing"
"275",2007-10-02,0,"Pegasing"
"276",2007-10-03,0,"Pegasing"
"277",2007-10-04,0,"Pegasing"
"278",2007-10-05,0,"Pegasing"
"279",2007-10-06,13,"Pegasing"
"280",2007-10-07,11.5,"Pegasing"
"281",2007-10-08,0,"Pegasing"
"282",2007-10-09,4.5,"Pegasing"
"283",2007-10-10,0,"Pegasing"
"284",2007-10-11,0,"Pegasing"
"285",2007-10-12,0,"Pegasing"
"286",2007-10-13,10,"Pegasing"
"287",2007-10-14,9,"Pegasing"
"288",2007-10-15,0,"Pegasing"
"289",2007-10-16,0,"Pegasing"
"290",2007-10-17,0,"Pegasing"
"291",2007-10-18,0,"Pegasing"
"292",2007-10-19,0,"Pegasing"
"293",2007-10-20,0,"Pegasing"
"294",2007-10-21,0,"Pegasing"
"295",2007-10-22,0,"Pegasing"
"296",2007-10-23,0,"Pegasing"
"297",2007-10-24,0,"Pegasing"
"298",2007-10-25,0,"Pegasing"
"299",2007-10-26,0,"Pegasing"
"300",2007-10-27,0,"Pegasing"
"301",2007-10-28,0,"Pegasing"
"302",2007-10-29,0,"Pegasing"
"303",2007-10-30,20,"Pegasing"
"304",2007-10-31,42,"Pegasing"
"305",2007-11-01,0,"Pegasing"
"306",2007-11-02,0,"Pegasing"
"307",2007-11-03,95.5,"Pegasing"
"308",2007-11-04,32.5,"Pegasing"
"309",2007-11-05,32,"Pegasing"
"310",2007-11-06,6.5,"Pegasing"
"311",2007-11-07,85,"Pegasing"
"312",2007-11-08,37,"Pegasing"
"313",2007-11-09,0,"Pegasing"
"314",2007-11-10,0,"Pegasing"
"315",2007-11-11,13,"Pegasing"
"316",2007-11-12,0,"Pegasing"
"317",2007-11-13,2,"Pegasing"
"318",2007-11-14,0,"Pegasing"
"319",2007-11-15,20,"Pegasing"
"320",2007-11-16,0,"Pegasing"
"321",2007-11-17,0,"Pegasing"
"322",2007-11-18,0,"Pegasing"
"323",2007-11-19,22,"Pegasing"
"324",2007-11-20,0,"Pegasing"
"325",2007-11-21,0,"Pegasing"
"326",2007-11-22,0,"Pegasing"
"327",2007-11-23,0,"Pegasing"
"328",2007-11-24,0,"Pegasing"
"329",2007-11-25,0,"Pegasing"
"330",2007-11-26,0,"Pegasing"
"331",2007-11-27,0,"Pegasing"
"332",2007-11-28,12,"Pegasing"
"333",2007-11-29,37,"Pegasing"
"334",2007-11-30,0.7,"Pegasing"
"335",2007-12-01,0,"Pegasing"
"336",2007-12-02,17,"Pegasing"
"337",2007-12-03,2.5,"Pegasing"
"338",2007-12-04,104.5,"Pegasing"
"339",2007-12-05,30,"Pegasing"
"340",2007-12-06,0,"Pegasing"
"341",2007-12-07,0,"Pegasing"
"342",2007-12-08,0,"Pegasing"
"343",2007-12-09,53.5,"Pegasing"
"344",2007-12-10,1.5,"Pegasing"
"345",2007-12-11,0,"Pegasing"
"346",2007-12-12,0,"Pegasing"
"347",2007-12-13,27,"Pegasing"
"348",2007-12-14,64,"Pegasing"
"349",2007-12-15,39,"Pegasing"
"350",2007-12-16,0,"Pegasing"
"351",2007-12-17,0,"Pegasing"
"352",2007-12-18,0,"Pegasing"
"353",2007-12-19,10,"Pegasing"
"354",2007-12-20,0,"Pegasing"
"355",2007-12-21,0,"Pegasing"
"356",2007-12-22,0,"Pegasing"
"357",2007-12-23,23,"Pegasing"
"358",2007-12-24,0,"Pegasing"
"359",2007-12-25,28,"Pegasing"
"360",2007-12-26,0,"Pegasing"
"361",2007-12-27,39,"Pegasing"
"362",2007-12-28,10,"Pegasing"
"363",2007-12-29,0,"Pegasing"
"364",2007-12-30,0,"Pegasing"
"365",2007-12-31,0,"Pegasing"
"366",2008-01-01,0,"Pegasing"
"367",2008-01-02,0,"Pegasing"
"368",2008-01-03,0,"Pegasing"
"369",2008-01-04,37.5,"Pegasing"
"370",2008-01-05,27,"Pegasing"
"371",2008-01-06,0,"Pegasing"
"372",2008-01-07,9.5,"Pegasing"
"373",2008-01-08,87.5,"Pegasing"
"374",2008-01-09,0,"Pegasing"
"375",2008-01-10,0,"Pegasing"
"376",2008-01-11,0,"Pegasing"
"377",2008-01-12,0,"Pegasing"
"378",2008-01-13,0,"Pegasing"
"379",2008-01-14,19,"Pegasing"
"380",2008-01-15,0,"Pegasing"
"381",2008-01-16,0,"Pegasing"
"382",2008-01-17,0,"Pegasing"
"383",2008-01-18,0,"Pegasing"
"384",2008-01-19,0,"Pegasing"
"385",2008-01-20,0,"Pegasing"
"386",2008-01-21,0,"Pegasing"
"387",2008-01-22,0,"Pegasing"
"388",2008-01-23,0,"Pegasing"
"389",2008-01-24,10,"Pegasing"
"390",2008-01-25,30,"Pegasing"
"391",2008-01-26,30,"Pegasing"
"392",2008-01-27,0,"Pegasing"
"393",2008-01-28,20,"Pegasing"
"394",2008-01-29,0,"Pegasing"
"395",2008-01-30,45,"Pegasing"
"396",2008-01-31,0,"Pegasing"
"397",2008-02-01,0,"Pegasing"
"398",2008-02-02,5.5,"Pegasing"
"399",2008-02-03,0,"Pegasing"
"400",2008-02-04,12.5,"Pegasing"
"401",2008-02-05,0,"Pegasing"
"402",2008-02-06,2.5,"Pegasing"
"403",2008-02-07,0,"Pegasing"
"404",2008-02-08,0,"Pegasing"
"405",2008-02-09,0,"Pegasing"
"406",2008-02-10,0,"Pegasing"
"407",2008-02-11,5,"Pegasing"
"408",2008-02-12,0,"Pegasing"
"409",2008-02-13,3.5,"Pegasing"
"410",2008-02-14,0,"Pegasing"
